protein,degree,clustering_coeff,betweenness,closeness,pagerank,eigenvector_centrality,avg_neighbor_degree,k_core,n_complexes,mean_complex_size,max_complex_size,co_complex_degree,co_complex_clustering,label
YER142C,22,0.021645021645021644,0.0005319190215665758,0.29115003930067757,0.0003664611725424575,0.010346772498733354,30.454545454545453,11,0,0.0,0.0,0,0.0,0
Q0080,2,1.0,0.0,0.26736936664799565,5.429023413770579e-05,0.005388124111736276,118.0,2,4,26.5,56.0,57,0.9523809523809523,0
YBL099W,109,0.026843357118586476,0.010135066079052499,0.3490391648233504,0.0015935194173607107,0.10456018741316733,38.75229357798165,17,4,24.0,56.0,57,0.9523809523809523,0
YJR121W,127,0.021872265966754154,0.01152640684538604,0.35432352147507995,0.0018507059897713038,0.11541860334168895,36.92125984251968,17,4,24.0,56.0,57,0.9523809523809523,0
Q0085,7,0.7619047619047619,3.5187570916812333e-07,0.2679701966854069,0.00013676134458586657,0.006297405783417944,38.42857142857143,6,4,26.5,56.0,57,0.9523809523809523,0
YDR298C,5,0.8,2.009622854946143e-06,0.2813054918024183,0.00010054076949893108,0.007634572325143119,69.4,5,5,21.8,56.0,57,0.9523809523809523,0
YDR377W,6,0.8666666666666667,2.0839824387640322e-07,0.26795585982827325,0.0001194157790716672,0.00611485782761391,44.166666666666664,6,4,26.5,56.0,57,0.9523809523809523,0
YKL016C,7,0.7142857142857143,6.545628775848587e-06,0.28133709561005815,0.0001352977207995529,0.00792531903679958,51.0,6,5,21.8,56.0,57,0.9523809523809523,0
YML081C-A,6,0.8,2.5967555513122325e-06,0.27003628490053677,0.00012216752872291648,0.006044594817909453,44.0,6,4,26.5,56.0,57,0.9523809523809523,0
YPL078C,9,0.3055555555555556,0.0005186212632664303,0.2890663151362262,0.00015831985376804186,0.009399348203677617,48.55555555555556,6,5,21.8,56.0,57,0.9523809523809523,0
Q0250,3,0.3333333333333333,2.5159008597783514e-05,0.21029404501386695,0.00011818117589422272,1.991284638765967e-05,4.333333333333333,3,3,26.333333333333332,56.0,56,0.9707792207792207,0
