protein,degree,clustering_coeff,betweenness,closeness,pagerank,eigenvector_centrality,avg_neighbor_degree,k_core,n_complexes,mean_complex_size,max_complex_size,co_complex_degree,co_complex_clustering,label
Q0045,1,0.0,0.0,0.17594984778396838,8.387169547771783e-05,3.139357178596495e-06,4.0,1,4,20.5,56.0,58,0.9050211736237145,0
YGL187C,4,0.0,0.00032239820987925536,0.21521604853942325,0.00023793326524722004,0.00011191515143645058,4.5,2,3,26.333333333333332,56.0,56,0.9707792207792207,0
Q0085,1,0.0,0.0,0.15008497650514055,0.00011597563124515439,9.290548011995467e-07,3.0,1,4,26.5,56.0,57,0.9523809523809523,0
YPL078C,3,0.0,0.0023585569731632205,0.17774782141775747,0.00027994601052843673,3.3093444453873576e-05,1.3333333333333333,1,5,21.8,56.0,57,0.9523809523809523,0
Q0250,2,0.0,9.09371587676353e-06,0.18660735478849821,0.000133243590814807,5.726257050770005e-06,4.0,2,3,26.333333333333332,56.0,56,0.9707792207792207,0
YER154W,5,0.0,0.000571251097102519,0.2245931558615448,0.0002854581554100386,0.0001579567711321629,22.6,2,0,0.0,0.0,0,0.0,0
Q0275,2,0.0,3.9845302206960596e-05,0.19005589897995834,0.00013248084226907182,7.571614970825406e-06,4.5,2,3,26.333333333333332,56.0,56,0.9707792207792207,0
YAL001C,4,0.16666666666666666,4.972657988736502e-05,0.19875126690714595,0.0002060844364358704,2.1768584393478862e-05,6.5,3,4,84.75,195.0,255,0.7764397097421646,1
YDR362C,2,0.0,1.4490883867319097e-05,0.18837878569009148,0.00012798514233277616,1.3633301497841289e-05,3.0,2,4,84.75,195.0,255,0.7764397097421646,1
YER148W,14,0.15384615384615385,0.0013181207767439095,0.24294994788563473,0.000532178736972019,0.000548526427425376,17.357142857142858,5,10,46.4,195.0,264,0.7423378269385874,1
YGR246C,5,0.1,0.00014842083614061602,0.1964329023754193,0.00025368375277016867,1.6821851249018784e-05,6.0,3,3,110.33333333333333,195.0,255,0.7764397097421646,1
YAL002W,10,0.28888888888888886,0.0005395458409648542,0.27766164312647135,0.00027290215889870533,0.029191660073298695,104.3,9,2,6.5,7.0,7,0.9047619047619048,0
YOR089C,17,0.16176470588235295,0.005340076275521745,0.26881475409019795,0.0005242624052889932,0.01606056076840063,48.1764705882353,10,0,0.0,0.0,0,0.0,0
YAL003W,3,0.0,8.748414104036358e-05,0.19004735368527823,0.00019046256225448998,8.59201679764351e-05,2.3333333333333335,2,6,198.5,559.0,589,0.9439786101197695,1
YBR118W,2,0.0,2.8871836106548104e-06,0.17832524124854546,0.00013973264260389482,3.3516617813667205e-05,3.0,2,6,198.5,559.0,589,0.9439786101197695,0
YKL081W,3,0.0,0.0002968385117124043,0.23591244032562778,0.00013677970650269688,0.002996401085838467,93.66666666666667,2,6,198.5,559.0,589,0.9439786101197695,0
YPR080W,2,0.0,2.8871836106548104e-06,0.17832524124854546,0.00013973264260389482,3.3516617813667205e-05,3.0,2,6,198.5,559.0,589,0.9439786101197695,0
YML109W,20,0.09473684210526316,0.0028583310605004904,0.2615297112556783,0.0006212532148037056,0.00904602550508528,18.7,8,0,0.0,0.0,0,0.0,0
YAL005C,8,0.10714285714285714,0.001665756155780323,0.26000142666631443,0.00026144685641978245,0.007925299391016438,47.25,5,1,11.0,11.0,10,1.0,0
