protein,degree,clustering_coeff,betweenness,closeness,pagerank,eigenvector_centrality,avg_neighbor_degree,k_core,n_complexes,mean_complex_size,max_complex_size,co_complex_degree,co_complex_clustering,label
YDL106C,4,0.0,0.004006240165086937,0.17654380685188847,0.00040170618753363174,2.3435804474896979e-07,9.25,3,0,0.0,0.0,0,0.0,0
YKR099W,3,0.0,0.0016809585601157166,0.17607376614732276,0.00030687826878702786,1.7459534379298448e-05,13.0,3,0,0.0,0.0,0,0.0,0
YKL205W,5,0.1,0.0033264134873411174,0.1559989570592347,0.0005855855005480832,6.999311684360809e-07,6.8,3,3,74.0,131.0,130,1.0,1
YNR034W,1,0.0,0.0,0.13145579492748288,0.00016258307989894287,8.748773734413021e-09,5.0,1,0,0.0,0.0,0,0.0,0
YGL035C,5,0.1,0.0018681062965071314,0.18324754336001642,0.00040598176631416623,2.927562530340939e-07,10.6,4,0,0.0,0.0,0,0.0,0
YBR112C,9,0.08333333333333333,0.00499290178188839,0.18347349594122483,0.0007882949838913636,1.8293747146989923e-05,7.444444444444445,4,4,68.75,195.0,195,0.989796457837695,1
YNL172W,10,1.0,0.0,0.14305111861079955,0.00048434460212762537,2.4715261016438964e-07,10.7,10,4,25.0,58.0,57,1.0,1
YKL022C,12,0.6818181818181818,0.0014650736241291784,0.15088423715565322,0.000629182428959143,2.4761745466314873e-07,9.416666666666666,10,4,25.0,58.0,57,1.0,1
YHR166C,13,0.5769230769230769,0.0024198693544614444,0.15479532401387083,0.0007009734801767657,2.839140246011397e-07,8.846153846153847,10,4,25.0,58.0,57,1.0,1
YBL084C,10,1.0,0.0,0.14305111861079955,0.00048434460212762537,2.4715261016438964e-07,10.7,10,5,22.2,58.0,67,0.7503392130257802,1
YBR195C,1,0.0,0.0,0.000390625,0.0004241151896855187,7.84526137315919e-34,1.0,1,5,23.0,83.0,86,0.9124487004103967,0
YML102W,1,0.0,0.0,0.000390625,0.0004241151896855187,7.84526137315919e-34,1.0,1,4,25.75,83.0,86,0.9124487004103967,0
YNL259C,1,0.0,0.0,0.000390625,0.0004241151896855187,7.84526137315919e-34,1.0,1,0,0.0,0.0,0,0.0,0
YDR270W,1,0.0,0.0,0.000390625,0.0004241151896855187,7.84526137315919e-34,1.0,1,0,0.0,0.0,0,0.0,0
YBR010W,17,0.22058823529411764,0.010623975116137819,0.18347349594122483,0.0012747258870160001,1.791173795600926e-05,8.647058823529411,7,3,8.333333333333334,11.0,14,0.6043956043956044,0
YLR442C,7,0.2857142857142857,0.0038496810640708486,0.1806885309147946,0.0005507166747501303,4.649113751356864e-07,13.0,5,4,27.25,83.0,90,0.8404494382022472,0
