protein,degree,clustering_coeff,betweenness,closeness,pagerank,eigenvector_centrality,avg_neighbor_degree,k_core,n_complexes,mean_complex_size,max_complex_size,co_complex_degree,co_complex_clustering,label
YJL092W,7,0.0,0.0010588505708198023,0.24343999949799494,0.0002678804496782136,2.8626216455295404e-06,13.571428571428571,4,0,0.0,0.0,0,0.0,0
YOL132W,2,0.0,1.0153994336565452e-05,0.1764271150909878,0.00011924978608668051,7.781252874921391e-09,4.5,2,0,0.0,0.0,0,0.0,0
YPL149W,3,0.3333333333333333,0.00020653271210537228,0.21799449972584395,0.00014736262495676793,1.5188414197199267e-06,9.666666666666666,2,1,3.0,3.0,2,1.0,0
YAL001C,5,1.0,0.0,0.21201346155110468,0.00015791668012118094,6.034209416363271e-07,9.4,5,4,84.75,195.0,255,0.7764397097421646,1
YBR123C,7,0.5238095238095238,0.0005229817259771156,0.23025914211012322,0.00020635402933373134,2.445436521553644e-06,11.857142857142858,5,4,84.75,195.0,255,0.7764397097421646,1
YDR362C,7,0.47619047619047616,0.0005769550734167957,0.23249872974714983,0.00021702631598685386,1.907729994442683e-05,13.142857142857142,5,4,84.75,195.0,255,0.7764397097421646,1
YGR047C,10,0.26666666666666666,0.002155703913749198,0.22254418287527075,0.0003084793303126973,9.283467776393433e-07,7.9,5,4,84.75,195.0,255,0.7764397097421646,1
YOR110W,18,0.1568627450980392,0.003221879971175159,0.2602917453050537,0.00045095710945791835,2.492021983515309e-05,21.27777777777778,8,4,84.75,195.0,255,0.7764397097421646,1
YPL007C,5,1.0,0.0,0.21201346155110468,0.00015791668012118094,6.034209416363271e-07,9.4,5,2,69.5,133.0,132,1.0,1
YAL003W,8,0.39285714285714285,0.00022554005685361227,0.222396290309205,0.0002232766341497029,2.423901482317912e-06,9.625,4,6,198.5,559.0,589,0.9439786101197695,1
YBR025C,10,0.1111111111111111,0.0008331039172569043,0.24000199873275602,0.00023422307817822608,5.725216469582792e-06,20.9,6,0,0.0,0.0,0,0.0,0
YBR118W,8,0.2857142857142857,0.0005624198193213378,0.23824085378832854,0.00021191306287523162,2.3644717431421518e-05,17.875,5,6,198.5,559.0,589,0.9439786101197695,0
YKL081W,11,0.2545454545454545,0.0004796150117078036,0.2261888442876504,0.00029209827973965263,5.717568968391623e-06,12.272727272727273,5,6,198.5,559.0,589,0.9439786101197695,0
YKR084C,6,0.6,4.707386817143169e-05,0.20921978604542985,0.000179983928136978,5.72377331709172e-07,7.166666666666667,4,3,93.66666666666667,266.0,265,1.0,0
YOL139C,31,0.18494623655913978,0.0021407983064171223,0.2769618176106868,0.0004984116881259624,0.00015085773780456504,42.096774193548384,15,7,172.71428571428572,559.0,589,0.9439786101197695,1
YPL048W,4,1.0,0.0,0.18798410884624586,0.00012999631418531463,1.1993992831146593e-07,7.5,4,4,71.5,266.0,265,1.0,0
YPL226W,2,1.0,0.0,0.18684574089626646,7.825730227335501e-05,1.0721371887445186e-07,9.5,2,0,0.0,0.0,0,0.0,0
YPR080W,5,0.9,6.5958404175994156e-06,0.19843624480152655,0.00015396908797106972,4.145574433309109e-07,7.4,4,6,198.5,559.0,589,0.9439786101197695,0
YGL181W,43,0.015503875968992248,0.01570040665539147,0.2824460320086131,0.0013955728849304762,0.001462628963785974,13.790697674418604,8,0,0.0,0.0,0,0.0,0
YML109W,30,0.07816091954022988,0.0032469656946047397,0.2616379739613103,0.0007765324616532992,0.0014175747577008708,14.033333333333333,6,0,0.0,0.0,0,0.0,0
YAL005C,11,0.10909090909090909,0.0005687905794369024,0.24935612030885929,0.00029072535708159154,4.087983215206931e-05,21.09090909090909,6,1,11.0,11.0,10,1.0,0
YAR002W,10,0.06666666666666667,0.0008153704833179507,0.25802243230108934,0.00027359686330560796,4.213701828734314e-05,32.1,6,1,59.0,59.0,58,1.0,0
YDR192C,31,0.05591397849462366,0.006635461558104035,0.28164149873947486,0.0008228667180954349,0.00014174446378590046,26.93548387096774,9,3,32.0,59.0,59,0.9812974868497955,0
YHR069C,15,0.5904761904761905,0.00017649891992203384,0.24532064007153873,0.00024247019738754094,4.677941884513497e-05,24.933333333333334,10,6,32.166666666666664,131.0,136,0.9196078431372549,1
YLR310C,16,0.06666666666666667,0.002755076359776786,0.2477797147185709,0.00046514164303112045,7.585709008416529e-06,13.4375,6,0,0.0,0.0,0,0.0,1
YLR335W,17,0.19117647058823528,0.0007250716488984594,0.2614021649359291,0.0004464432998536399,3.132817864811706e-05,27.235294117647058,8,3,32.0,59.0,59,0.9812974868497955,0
YLR347C,62,0.06980433632998413,0.011451156142299815,0.298778671178399,0.0014157641687090714,0.0028925302212095797,28.048387096774192,17,1,59.0,59.0,58,1.0,1
YNL007C,3,0.0,4.194683194836888e-05,0.21751493580464318,0.00012268160326115436,1.04186924904556e-06,11.666666666666666,2,4,282.5,559.0,558,1.0,1
YNL064C,11,0.01818181818181818,0.0009490270372029299,0.24435611272908717,0.00029167735291778864,2.206568099423183e-05,14.818181818181818,5,1,4.0,4.0,3,1.0,0
